no;district;year;agri_year;GDVA_agri_crore;HYV_area_000ha;Rainfall_mm;Temp_C;MCDS_days;Pesticide_MT;NPK_MT;Irrigation_pct;VarCost_Rs;KVK_intensity;KVK_expd;ExtWorker_per1000;PACS_count;APMC_yards;Road_density;AvgHolding_ha;SmallFarmer_share;CropIntensity;Herfindahl;Rainfed_share;FarmIncome_Rs000;ln_GDVA;ln_HYV;ln_Rainfall;TempAnomaly;RainAnomaly;dist_id
1;Ahmednagar;2014;2014-15;7120;421.3;480;25.6;25;490;162300;0.282;48100;71;36.4;0.71;1345;14;1.22;1.48;0.748;1.32;0.248;0.642;122.4;8.870663004;6.043345169;6.173786104;-0.22;-0.548220554;1
2;Ahmednagar;2015;2015-16;6240;340.2;350;25.9;36;410;138500;0.241;46200;85;39.2;0.68;1344;14;1.24;1.45;0.753;1.24;0.254;0.685;108.5;8.738735461;5.82953368;5.857933154;0.08;-1.450355642;1
3;Ahmednagar;2016;2016-17;8910;468.5;610;26.3;18;580;174200;0.305;53800;75;41;0.64;1342;14;1.26;1.43;0.758;1.36;0.242;0.615;134.2;9.09492952;6.149536102;6.413458957;0.48;0.353914535;1
4;Ahmednagar;2017;2017-18;8640;385.1;540;25.7;22;550;166100;0.291;56400;81;43.2;0.81;1340;14;1.3;1.4;0.763;1.34;0.238;0.62;140.1;9.064157862;5.953503041;6.29156914;-0.12;-0.131850513;1
5;Ahmednagar;2018;2018-19;9480;410.6;380;26;29;564;171400;0.308;59800;89;45.6;0.78;1338;14;1.35;1.37;0.768;1.26;0.246;0.664;144.2;9.156939595;6.017619505;5.940171253;0.18;-1.242170622;1
6;Ahmednagar;2019;2019-20;9110;418.5;790;26.1;12;580;174600;0.314;63200;95;48.1;0.74;1335;14;1.39;1.34;0.773;1.4;0.231;0.585;159.5;9.11712799;6.03667689;6.672032945;0.28;1.603024657;1
7;Ahmednagar;2020;2020-21;9640;432.1;710;25.4;15;612;185200;0.332;67400;39;41.2;0.62;1332;14;1.42;1.32;0.778;1.38;0.234;0.596;166.8;9.173676388;6.068657043;6.56526497;-0.42;1.047864603;1
8;Ahmednagar;2021;2021-22;10020;425.4;660;25.6;19;590;178400;0.321;72100;55;50.1;0.57;1332;14;1.45;1.29;0.783;1.36;0.237;0.605;177.2;9.212338375;6.053029903;6.492239835;-0.22;0.700889569;1
9;Ahmednagar;2022;2022-23;10490;440.2;620;25.7;16;552;186200;0.336;76500;99;54.8;0.86;1334;14;1.51;1.28;0.788;1.41;0.228;0.572;194.5;9.258177701;6.087229169;6.429719478;-0.12;0.423309542;1
10;Ahmednagar;2023;2023-24;10780;428.1;450;25.9;32;566;188600;0.324;80900;108;58.4;0.81;1336;14;1.56;1.25;0.793;1.27;0.245;0.664;163.4;9.285447844;6.059356813;6.109247583;0.08;-0.756405574;1
11;Akola;2014;2014-15;2410;201.2;640;27.3;23;340;76400;0.125;32400;52;21.6;0.86;435;7;0.76;1.61;0.684;1.18;0.415;0.842;75.3;7.787382026;5.304299438;6.461468176;-0.26;-0.543786116;2
12;Akola;2015;2015-16;1980;182.4;480;27.6;33;295;66200;0.102;30900;66;23.8;0.82;432;7;0.78;1.58;0.689;1.12;0.422;0.878;64.2;7.590852124;5.206202078;6.173786104;0.04;-1.617931531;2
13;Akola;2016;2016-17;2980;220.5;810;28.1;16;395;84100;0.143;35800;55;24.5;0.79;430;7;0.79;1.56;0.694;1.21;0.408;0.821;83.4;7.999678579;5.395897695;6.697034248;0.54;0.597493387;2
14;Akola;2017;2017-18;2840;198.6;710;27.4;19;380;80500;0.138;37900;61;25.8;0.98;428;7;0.83;1.53;0.7;1.2;0.402;0.826;86.8;7.951559331;5.291292752;6.56526497;-0.16;-0.073847497;2
15;Akola;2018;2018-19;3180;212.1;560;27.7;24;404;83800;0.146;40300;67;27.3;0.94;425;7;0.86;1.51;0.705;1.15;0.418;0.864;88.2;8.064636476;5.357057862;6.327936784;0.14;-1.080858824;2
16;Akola;2019;2019-20;2980;215.4;960;27.8;11;416;85200;0.152;42800;72;28.8;0.9;422;7;0.89;1.48;0.711;1.24;0.395;0.795;98.4;7.999678579;5.372496765;6.866933284;0.24;1.604504713;2
17;Akola;2020;2020-21;3240;220.6;870;27.1;14;444;90600;0.164;45600;27;24.7;0.78;420;7;0.91;1.46;0.716;1.22;0.398;0.806;102.8;8.083328609;5.396351107;6.768493212;-0.46;1.000297917;2
18;Akola;2021;2021-22;3350;218.2;810;27.4;17;426;87100;0.157;48900;39;30;0.73;420;7;0.93;1.43;0.722;1.21;0.402;0.813;108.2;8.116715625;5.385412073;6.697034248;-0.16;0.597493387;2
19;Akola;2022;2022-23;3520;224.5;760;27.5;15;396;91800;0.169;51900;76;32.8;1.02;421;7;0.97;1.41;0.727;1.25;0.392;0.785;118.5;8.166216269;5.413875707;6.633318433;-0.06;0.261822945;2
20;Akola;2023;2023-24;3630;221.4;610;27.7;29;407;93200;0.164;54800;85;35;0.97;423;7;1.01;1.39;0.733;1.16;0.411;0.85;101.2;8.196987927;5.39997102;6.413458957;0.14;-0.745188381;2
21;Amravati;2014;2014-15;4620;345.6;740;26.9;19;540;124500;0.164;36100;56;24.5;0.85;580;12;0.9;1.78;0.635;1.2;0.398;0.824;81.5;8.438149984;5.845282037;6.606650186;-0.26;-0.495293006;3
22;Amravati;2015;2015-16;3890;312.4;550;27.2;28;480;108200;0.138;34200;69;27;0.81;578;12;0.92;1.75;0.641;1.15;0.406;0.856;71.2;8.266164437;5.744284418;6.309918278;0.04;-1.671613895;3
23;Amravati;2016;2016-17;5780;378.2;920;27.7;13;640;138400;0.185;40500;59;27.8;0.78;575;12;0.94;1.73;0.646;1.24;0.391;0.801;90.8;8.662158962;5.935423156;6.82437367;0.54;0.619116258;3
24;Amravati;2017;2017-18;5540;344.1;810;27;16;625;132100;0.179;42600;65;29.3;0.96;572;12;0.98;1.7;0.652;1.23;0.385;0.806;94.8;8.61974978;5.840932313;6.697034248;-0.16;-0.061911626;3
25;Amravati;2018;2018-19;6140;365.8;660;27.3;20;652;137400;0.191;45600;71;31;0.92;570;12;1.02;1.67;0.658;1.18;0.402;0.842;96.5;8.722580021;5.902086736;6.492239835;0.14;-0.990586012;3
26;Amravati;2019;2019-20;5740;370.4;1080;27.4;9;672;139500;0.198;48400;77;32.7;0.88;568;12;1.05;1.64;0.663;1.27;0.378;0.778;107.2;8.655214489;5.914583503;6.98471632;0.24;1.60970227;3
27;Amravati;2020;2020-21;6240;378.1;980;26.7;11;716;148100;0.212;51600;30;28.1;0.76;565;12;1.08;1.62;0.669;1.25;0.382;0.79;112.1;8.738735461;5.935158711;6.887552572;-0.46;0.990586012;3
28;Amravati;2021;2021-22;6460;374.5;910;27;14;686;142600;0.204;55400;42;34.1;0.71;565;12;1.11;1.59;0.674;1.24;0.386;0.797;118.5;8.773384597;5.925591803;6.8134446;-0.16;0.557204632;3
29;Amravati;2022;2022-23;6780;384.2;860;27.1;12;640;150200;0.219;58900;81;37.3;1;566;12;1.16;1.57;0.68;1.28;0.375;0.768;129.8;8.821732381;5.95116325;6.756932389;-0.06;0.247646503;3
30;Amravati;2023;2023-24;6990;379.4;690;27.3;24;657;152600;0.215;62100;89;39.8;0.95;568;12;1.2;1.54;0.685;1.19;0.396;0.834;110.4;8.852235835;5.938591058;6.536691598;0.14;-0.804851135;3
31;Beed;2014;2014-15;3410;315.2;490;26.4;26;425;92400;0.121;34100;64;28.4;0.72;680;11;0.78;1.92;0.611;1.16;0.324;0.834;72.4;8.13446757;5.753207358;6.194405391;-0.26;-0.463444897;4
32;Beed;2015;2015-16;2390;210.5;320;26.7;38;290;68100;0.082;29800;88;33.2;0.69;678;11;0.79;1.89;0.617;1.06;0.335;0.892;54.8;7.779048645;5.349485653;5.768320996;0.04;-1.62205714;4
33;Beed;2016;2016-17;4510;362.4;640;27.2;18;540;108200;0.148;38500;68;32.1;0.65;675;11;0.81;1.87;0.622;1.21;0.318;0.811;81.5;8.414052432;5.892748574;6.461468176;0.54;0.558860023;4
34;Beed;2017;2017-18;4290;288.1;550;26.5;24;490;97400;0.131;40400;75;33.8;0.83;671;11;0.85;1.84;0.628;1.18;0.312;0.818;84.8;8.364042012;5.663307642;6.309918278;-0.16;-0.054522929;4
35;Beed;2018;2018-19;4870;312.4;390;26.8;30;526;102500;0.142;43200;83;35.7;0.79;668;11;0.89;1.81;0.634;1.08;0.331;0.879;85.6;8.490849216;5.744284418;5.966146739;0.14;-1.14498151;4
36;Beed;2019;2019-20;4420;320.1;780;26.9;13;542;104200;0.148;45900;89;37.6;0.76;664;11;0.92;1.78;0.639;1.25;0.302;0.778;95.4;8.393894975;5.768633447;6.65929392;0.24;1.513011281;4
37;Beed;2020;2020-21;4950;342.5;710;26.2;16;580;112500;0.165;49100;35;32.3;0.64;660;11;0.95;1.76;0.645;1.23;0.306;0.791;99.8;8.507142856;5.836271658;6.56526497;-0.46;1.035935652;4
38;Beed;2021;2021-22;5120;328.4;650;26.5;20;556;106100;0.152;53200;50;39.2;0.58;660;11;0.97;1.73;0.65;1.2;0.311;0.802;104.5;8.540909718;5.794232378;6.476972363;-0.16;0.627013684;4
39;Beed;2022;2022-23;5380;350.2;610;26.6;17;518;113500;0.171;56400;94;42.9;0.88;662;11;1.01;1.71;0.656;1.27;0.298;0.758;114.5;8.590443653;5.85850442;6.413458957;-0.06;0.354399039;4
40;Beed;2023;2023-24;5540;332.6;440;26.8;34;532;115200;0.153;59600;109;46.2;0.82;665;11;1.05;1.68;0.661;1.09;0.328;0.868;86.8;8.61974978;5.806940567;6.086774727;0.14;-0.804213204;4
41;Bhandara;2014;2014-15;1980;179.1;1140;26.5;12;240;61200;0.384;32100;38;15.2;1.32;365;6;0.94;1.04;0.834;1.5;0.685;0.524;NA;7.590852124;5.187944309;7.038783541;-0.26;-0.413301954;5
42;Bhandara;2015;2015-16;1820;174.2;890;26.8;18;225;56400;0.361;31400;44;16.4;1.28;365;6;0.96;1.02;0.838;1.44;0.691;0.565;NA;7.50659178;5.160204064;6.791221463;0.04;-1.704870561;5
43;Bhandara;2016;2016-17;2280;185.3;1340;27.3;8;265;64800;0.402;34200;40;17.2;1.24;362;6;0.98;1.01;0.842;1.54;0.678;0.501;NA;7.731930722;5.221976133;7.200424893;0.54;0.619952931;5
44;Bhandara;2017;2017-18;2210;178.6;1210;26.6;10;250;62100;0.395;35900;43;18.1;1.45;360;6;1.02;0.99;0.846;1.53;0.674;0.506;NA;7.700747795;5.185148668;7.098375639;-0.16;-0.051662744;5
45;Bhandara;2018;2018-19;2410;182.1;1060;26.9;12;254;63400;0.411;37800;47;19.1;1.4;358;6;1.06;0.97;0.85;1.48;0.682;0.542;NA;7.787382026;5.204555987;6.966024187;0.14;-0.826603908;5
46;Bhandara;2019;2019-20;2290;183.5;1540;27;5;258;64500;0.418;40200;51;20.1;1.36;356;6;1.09;0.95;0.854;1.58;0.669;0.478;NA;7.736307097;5.212214667;7.339537695;0.24;1.653207817;5
47;Bhandara;2020;2020-21;2450;185.6;1410;26.3;7;264;66200;0.426;42800;19;17.3;1.18;354;6;1.12;0.94;0.858;1.56;0.672;0.49;NA;7.803843304;5.22359382;7.251344983;-0.46;0.981592141;5
48;Bhandara;2021;2021-22;2540;186.2;1320;26.6;9;256;65400;0.421;45900;26;20.9;1.12;354;6;1.15;0.92;0.862;1.55;0.675;0.496;NA;7.83991936;5.226821365;7.185387016;-0.16;0.516627443;5
49;Bhandara;2022;2022-23;2670;188.4;1250;26.7;8;240;67200;0.434;48700;54;22.9;1.48;355;6;1.2;0.91;0.866;1.59;0.666;0.468;NA;7.889833751;5.238567362;7.13089883;-0.06;0.154988233;5
50;Bhandara;2023;2023-24;2750;189.1;1040;26.9;15;244;68100;0.438;51500;58;24.4;1.43;356;6;1.24;0.89;0.87;1.5;0.681;0.531;NA;7.919356191;5.242275976;6.946975992;0.14;-0.929929397;5
51;Buldhana;2014;2014-15;3820;330.4;610;26.2;22;510;115200;0.142;33900;49;20.4;0.82;565;13;0.85;1.96;0.591;1.22;0.368;0.788;72.8;8.248005702;5.800304042;6.413458957;-0.26;-0.584012006;6
52;Buldhana;2015;2015-16;3110;295.1;460;26.5;31;440;98400;0.114;31800;64;22.5;0.78;562;13;0.87;1.93;0.597;1.16;0.375;0.826;61.4;8.042378005;5.687314282;6.131226489;0.04;-1.614621429;6
53;Buldhana;2016;2016-17;4920;362.8;780;27;15;610;126400;0.165;37900;52;23.1;0.75;560;13;0.89;1.91;0.602;1.26;0.361;0.764;81.8;8.501063809;5.893851718;6.65929392;0.54;0.584012006;6
54;Buldhana;2017;2017-18;4710;331.4;690;26.3;18;595;120100;0.156;39800;58;24.3;0.93;558;13;0.93;1.88;0.608;1.24;0.355;0.77;85;8.457443187;5.803326105;6.536691598;-0.16;-0.034353647;6
55;Buldhana;2018;2018-19;5230;350.4;530;26.6;23;622;125400;0.168;42500;64;25.7;0.89;554;13;0.96;1.85;0.614;1.18;0.37;0.812;86.7;8.562166557;5.859075359;6.272877007;0.14;-1.133670365;6
56;Buldhana;2019;2019-20;4890;355.2;920;26.7;11;640;127600;0.174;45100;69;27.1;0.86;551;13;0.99;1.82;0.619;1.29;0.348;0.73;96.2;8.494947582;5.872681011;6.82437367;0.24;1.545914135;6
57;Buldhana;2020;2020-21;5310;364.8;840;26;13;682;135400;0.189;48200;26;23.2;0.74;548;13;1.02;1.79;0.625;1.27;0.352;0.743;100.5;8.577347114;5.899349258;6.733401892;-0.46;0.996255776;6
58;Buldhana;2021;2021-22;5510;360.1;790;26.3;16;654;130200;0.181;51800;37;28.2;0.69;548;13;1.05;1.76;0.63;1.26;0.356;0.751;106.2;8.614319902;5.886381771;6.672032945;-0.16;0.652719301;6
59;Buldhana;2022;2022-23;5780;371.4;740;26.4;14;610;137100;0.195;54900;73;30.9;0.97;549;13;1.1;1.74;0.636;1.3;0.346;0.72;116.1;8.662158962;5.917279649;6.606650186;-0.06;0.309182827;6
60;Buldhana;2023;2023-24;5950;366.5;590;26.6;27;626;139500;0.19;58100;82;33;0.92;551;13;1.14;1.71;0.641;1.19;0.365;0.798;96.5;8.691146499;5.903998521;6.380122537;0.14;-0.721426596;6
